"","ID_Year","Family","BlockDrought","Region","Site.Lat","Experiment_Date","SLA","Water_Content","Assimilation","Stomatal_Conductance","Period"
"472","S18_2014","267","4_W","2.Center","39.7_S18",91,187.413010590015,0.287391304347826,8.39894516,0.437346138333333,"Peak"
"475","S18_2014","268","3_D","2.Center","39.7_S18",97,217.984084880637,0.198421052631579,13.2635937533333,0.531245125,"Peak"
"476","S18_2014","268","4_D","2.Center","39.7_S18",99,226.107382550336,0.225757575757576,9.37206922733333,0.159332710666667,"Peak"
"479","S18_2014","268","3_W","2.Center","39.7_S18",100,259.527559055118,0.186764705882353,15.5004111266667,0.556872658,"Peak"
"483","S18_2014","269","3_D","2.Center","39.7_S18",91,343.167701863354,0.146363636363636,14.1768926166667,0.556085752666667,"Peak"
"484","S18_2014","269","4_D","2.Center","39.7_S18",105,209.512605042017,0.2975,6.02632377033333,0.094878165,"Peak"
"487","S18_2014","269","3_W","2.Center","39.7_S18",92,202.357630979499,0.250857142857143,9.639245475,0.251254289666667,"Peak"
"488","S18_2014","269","4_W","2.Center","39.7_S18",102,229.94708994709,0.21,10.2340931066667,0.737671647,"Peak"
"492","S18_2014","270","4_D","2.Center","39.7_S18",94,299.665809768638,0.169130434782609,9.0185492095,0.287715062833333,"Peak"
"495","S18_2014","270","3_W","2.Center","39.7_S18",104,301.090146750524,0.183461538461538,14.36889544,0.649445319666667,"Peak"
"496","S18_2014","270","4_W","2.Center","39.7_S18",99,202.404730617608,0.292692307692308,11.07898936,0.344044309666667,"Peak"
"499","S18_2014","271","3_D","2.Center","39.7_S18",101,322.607449856734,0.145416666666667,17.29827295,0.599218034,"Peak"
"500","S18_2014","271","4_D","2.Center","39.7_S18",105,283.806451612903,0.155,14.78658763,0.308438551666667,"Peak"
"503","S18_2014","271","3_W","2.Center","39.7_S18",101,199.520766773163,0.208666666666667,15.08020998,0.530121326333333,"Peak"
"504","S18_2014","271","4_W","2.Center","39.7_S18",103,222.630359212051,0.297586206896552,8.66823713833333,0.579230726,"Peak"
"507","S18_2014","272","3_D","2.Center","39.7_S18",91,172.629757785467,0.34,11.27695205,0.630590218666667,"Peak"
"508","S18_2014","272","4_D","2.Center","39.7_S18",103,255.786350148368,0.187222222222222,15.1133705833333,0.683768175333333,"Peak"
"511","S18_2014","272","3_W","2.Center","39.7_S18",100,235.63484708063,0.2158,10.5700490466667,0.425532300333333,"Peak"
"512","S18_2014","272","4_W","2.Center","39.7_S18",96,214.570200573066,0.249285714285714,9.59990893333333,0.545504467666667,"Peak"
"515","S18_2014","273","3_D","2.Center","39.7_S18",103,265,0.1544,16.6740058733333,0.474787995333333,"Peak"
"516","S18_2014","273","4_D","2.Center","39.7_S18",106,348.271604938272,0.135,10.15139227,0.492686896,"Peak"
"519","S18_2014","273","3_W","2.Center","39.7_S18",88,185.629228687415,0.284230769230769,11.3514589066667,0.444233482333333,"Peak"
"520","S18_2014","273","4_W","2.Center","39.7_S18",114,236.20218579235,0.236129032258065,14.6655860166667,0.552382082333333,"Peak"
"523","S29_2015","302","3_D","2.Center","39.4_S29",106,246.947890818859,0.183181818181818,12.0918511366667,0.709063896,"Peak"
